content,content_lower,content_no_punctuation,content_no_emoji,content_no_stopwords,processed,predicted
sangat tidak di rekomendasikan untuk aplikasi ini karena masalah 1 saat mau login harus nunggu kode dari sms sama email itu pun sangat lama sekali mau login aja harus nunggu satu jam lbih karena kodenya tidak di kirim juga sudah nunggu sejam lebih di coba berkali2 tetap tidak di kirim juga yang namanya kode verifikasi,sangat tidak di rekomendasikan untuk aplikasi ini karena masalah 1 saat mau login harus nunggu kode dari sms sama email itu pun sangat lama sekali mau login aja harus nunggu satu jam lbih karena kodenya tidak di kirim juga sudah nunggu sejam lebih di coba berkali2 tetap tidak di kirim juga yang namanya kode verifikasi,sangat tidak di rekomendasikan untuk aplikasi ini karena masalah 1 saat mau login harus nunggu kode dari sms sama email itu pun sangat lama sekali mau login aja harus nunggu satu jam lbih karena kodenya tidak di kirim juga sudah nunggu sejam lebih di coba berkali2 tetap tidak di kirim juga yang namanya kode verifikasi,sangat tidak di rekomendasikan untuk aplikasi ini karena masalah 1 saat mau login harus nunggu kode dari sms sama email itu pun sangat lama sekali mau login aja harus nunggu satu jam lbih karena kodenya tidak di kirim juga sudah nunggu sejam lebih di coba berkali2 tetap tidak di kirim juga yang namanya kode verifikasi,rekomendasikan aplikasi 1 login nunggu kode sms email login aja nunggu jam lbih kodenya kirim nunggu sejam coba berkali2 kirim namanya kode verifikasi,rekomendasi aplikasi 1 login nunggu kode sms email login aja nunggu jam lbih kode kirim nunggu jam coba berkali2 kirim nama kode verifikasi,negative
"aku baru belajar main crypto, aplikasi ini bagus banget untuk pemula. cara top up nya pun mudah. dan untuk penarikan dana juga lumayan cepet ga sampai 15 menit masuk kerekening kita. #SalamTkoToTheMoon . 😁😁😍","aku baru belajar main crypto, aplikasi ini bagus banget untuk pemula. cara top up nya pun mudah. dan untuk penarikan dana juga lumayan cepet ga sampai 15 menit masuk kerekening kita. #salamtkotothemoon . 😁😁😍",aku baru belajar main crypto aplikasi ini bagus banget untuk pemula cara top up nya pun mudah dan untuk penarikan dana juga lumayan cepet ga sampai 15 menit masuk kerekening kita salamtkotothemoon  😁😁😍,aku baru belajar main crypto aplikasi ini bagus banget untuk pemula cara top up nya pun mudah dan untuk penarikan dana juga lumayan cepet ga sampai 15 menit masuk kerekening kita salamtkotothemoon  ,belajar main crypto aplikasi bagus banget pemula top up nya mudah penarikan dana lumayan cepet ga 15 menit masuk kerekening salamtkotothemoon,ajar main crypto aplikasi bagus banget mula top up nya mudah tari dana lumayan cepet ga 15 menit masuk rekening salamtkotothemoon,positive
Tampilan ya keren,tampilan ya keren,tampilan ya keren,tampilan ya keren,tampilan ya keren,tampil ya keren,positive
Recomended,recomended,recomended,recomended,recomended,recomended,positive
"Susahnya verivikasi email ,berkali kali ,kacau dah","susahnya verivikasi email ,berkali kali ,kacau dah",susahnya verivikasi email berkali kali kacau dah,susahnya verivikasi email berkali kali kacau dah,susahnya verivikasi email berkali kali kacau dah,susah verivikasi email kali kali kacau dah,negative
"Fitur konversi tko gak bisa di pake,banyak sisa² saldo koin yg kecil gak ke pake,,klu udh di perbaiki gua akan kasih bibtang 5","fitur konversi tko gak bisa di pake,banyak sisa² saldo koin yg kecil gak ke pake,,klu udh di perbaiki gua akan kasih bibtang 5",fitur konversi tko gak bisa di pakebanyak sisa² saldo koin yg kecil gak ke pakeklu udh di perbaiki gua akan kasih bibtang 5,fitur konversi tko gak bisa di pakebanyak sisa² saldo koin yg kecil gak ke pakeklu udh di perbaiki gua akan kasih bibtang 5,fitur konversi tko gak pakebanyak sisa² saldo koin yg gak pakeklu udh perbaiki gua kasih bibtang 5,fitur konversi tko gak pakebanyak sisa saldo koin yg gak pakeklu udh baik gua kasih bibtang 5,negative
Bagus,bagus,bagus,bagus,bagus,bagus,positive
"Tolong di permudah Verifikasinya, sudah berkali kali ulangin daftar dg email yg beda. Kemarin GG di verfal2, sekarang malah GG bisa kirim identitas ( informasi pengiriman kyc salah ) ini gimana tolong segera direspon.","tolong di permudah verifikasinya, sudah berkali kali ulangin daftar dg email yg beda. kemarin gg di verfal2, sekarang malah gg bisa kirim identitas ( informasi pengiriman kyc salah ) ini gimana tolong segera direspon.",tolong di permudah verifikasinya sudah berkali kali ulangin daftar dg email yg beda kemarin gg di verfal2 sekarang malah gg bisa kirim identitas  informasi pengiriman kyc salah  ini gimana tolong segera direspon,tolong di permudah verifikasinya sudah berkali kali ulangin daftar dg email yg beda kemarin gg di verfal2 sekarang malah gg bisa kirim identitas  informasi pengiriman kyc salah  ini gimana tolong segera direspon,tolong permudah verifikasinya berkali kali ulangin daftar dg email yg beda kemarin gg verfal2 gg kirim identitas informasi pengiriman kyc salah gimana tolong direspon,tolong mudah verifikasi kali kali ulangin daftar dg email yg beda kemarin gg verfal2 gg kirim identitas informasi kirim kyc salah gimana tolong direspon,negative
Koin ditokocrypto bnyk pilhn sehingga untuk trader sih cocok dan pass bngett,koin ditokocrypto bnyk pilhn sehingga untuk trader sih cocok dan pass bngett,koin ditokocrypto bnyk pilhn sehingga untuk trader sih cocok dan pass bngett,koin ditokocrypto bnyk pilhn sehingga untuk trader sih cocok dan pass bngett,koin ditokocrypto bnyk pilhn trader sih cocok pass bngett,koin ditokocrypto bnyk pilhn trader sih cocok pass bngett,positive
"Kenapa kode verifikasinya salah terus yaa padahal sudah sesuai dengan yg dikirim lewat gmail, tolong dong secepatnya di perbaiki","kenapa kode verifikasinya salah terus yaa padahal sudah sesuai dengan yg dikirim lewat gmail, tolong dong secepatnya di perbaiki",kenapa kode verifikasinya salah terus yaa padahal sudah sesuai dengan yg dikirim lewat gmail tolong dong secepatnya di perbaiki,kenapa kode verifikasinya salah terus yaa padahal sudah sesuai dengan yg dikirim lewat gmail tolong dong secepatnya di perbaiki,kode verifikasinya salah yaa sesuai yg dikirim gmail tolong secepatnya perbaiki,kode verifikasi salah yaa sesuai yg kirim gmail tolong cepat baik,negative
